Rank	CPM.Ave
1	69897.01512199272
2	45878.14404776412
3	33775.70359145018
4	21858.110195170702
5	16700.92675739365
6	13641.259176126705
7	11595.07191530531
8	10344.536065727834
9	9424.319260788418
10	8642.928524157545
11	7973.783756381757
12	7431.649131139092
13	6971.665985367797
14	6553.007921751237
15	6170.0166270522595
16	5834.455429322931
17	5522.423480405193
18	5262.768795260075
19	5020.99813825493
20	4800.847070468499
21	4597.640646732512
22	4393.223242088294
23	4212.9419790616275
24	4050.0660226505024
25	3907.251773434491
26	3768.731212525148
27	3631.348052747178
28	3513.9291990038196
29	3398.4865592485157
30	3294.5424366784227
31	3182.6064721786706
32	3077.6971343202504
33	2982.663092071268
34	2895.2070446372995
35	2809.921246920458
36	2730.2551256773336
37	2653.4417319499894
38	2582.4092934825326
39	2516.34256454808
40	2452.8695988654863
41	2392.619568012079
42	2336.5774360877263
43	2280.7165659182137
44	2232.567553907736
45	2186.372028103189
46	2139.898390703279
47	2095.611993415565
48	2054.628266649868
49	2017.3519293168479
50	1978.7668277675505
51	1944.0257743184334
52	1908.7704772908485
53	1874.5871164242112
54	1840.676265006914
55	1808.8838346591263
56	1778.8827339249951
57	1748.6503211662487
58	1721.7961235296805
59	1695.0764262206023
60	1669.3748009528574
61	1642.9689477385944
62	1618.4023715770163
63	1594.4943637200333
64	1572.6527276505603
65	1550.1321461197379
66	1528.9486046826923
67	1508.5438997873273
68	1488.8487010692636
69	1470.7255403240179
70	1451.8286525563767
71	1434.1014955458297
72	1416.9052751930924
73	1399.7784863799145
74	1383.4253895092477
75	1367.6423165752874
76	1352.006377132551
77	1336.8175547671526
78	1322.38557891043
79	1307.6661063148304
80	1293.7209991110062
81	1280.9600353841556
82	1268.1011672147886
83	1254.9947395021181
84	1243.130342388751
85	1230.9790380839072
86	1219.6884108060012
87	1208.7278921050008
88	1197.8564368982336
89	1185.7450110804316
90	1175.3638232217943
91	1164.3866079520822
92	1153.29818307577
93	1143.0232203614848
94	1132.8763397846828
95	1122.8250155961277
96	1113.107002062249
97	1103.459229378433
98	1094.2568019712658
99	1085.1797788609479
100	1076.2309914414527
101	1067.253544077485
102	1058.4894369425826
103	1049.687606576804
104	1041.977295608801
105	1033.7744500534125
106	1026.0464143173617
107	1017.6329983535909
108	1009.7469743447848
109	1002.3331980821899
110	994.5069029652116
111	987.6100605264546
112	980.4864687091422
113	973.4110401573392
114	966.7288623488372
115	959.5166184459061
116	952.5398230698698
117	945.8054702090491
118	939.4969410729643
119	933.0490337431349
120	926.9517149211313
121	920.1913702008762
122	913.8072115108092
123	907.8974887851406
124	902.0388723767109
125	896.4169136887409
126	890.4797901539372
127	884.3449280881226
128	878.7076420440502
129	873.2373532441752
130	867.8004006875335
131	862.1798354446092
132	856.7635529508366
133	851.2865852354097
134	845.992552878025
135	840.7778462242159
136	835.5614827577115
137	830.6091792431001
138	825.8253817318397
139	820.9413520766908
140	816.4401564390797
141	811.6590403976369
142	806.7666899693937
143	801.8298416199589
144	797.2765905120052
145	792.900828963772
146	788.4223994508172
147	784.3445683416838
148	779.8421930983504
149	775.6631125154292
150	771.623901174083
151	767.4503946387536
152	763.562176964221
153	759.4666555031031
154	755.2956905922637
155	751.1006791413841
156	747.0839545939288
157	743.1294387852821
158	739.1309579713627
159	735.2071931207425
160	731.3045897678364
161	727.856998383019
162	724.238512335243
163	720.5169607560971
164	716.7551320065124
