Gene
A2M
A4GALT
A4GNT
AAAS
AACS
AADAC
AADAT
AAGAB
AAK1
AAMDC
AAMP
AAR2
AARS2
AASDH
AASDHPPT
AASS
ABAT
ABCA1
ABCA13
ABCA2
ABCA3
ABCA5
ABCA7
ABCB10
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC2
ABCC4
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCE1
ABCF1
ABCF3
ABCG1
ABCG2
ABCG4
ABHD1
ABHD10
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD15
ABHD16A
ABHD17A
ABHD18
ABHD2
ABHD3
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABL1
ABL2
ABLIM2
ABLIM3
ABO
ABR
ABRACL
ABT1
ABTB1
ABTB2
ACAA2
ACAD11
ACAD8
ACAD9
ACADL
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD4
ACBD5
ACBD6
ACCS
ACD
ACER2
ACER3
ACHE
ACKR1
ACO1
ACOT11
ACOT13
ACOT4
ACOT7
ACOT8
ACOT9
ACOX3
ACP2
ACP5
ACP6
ACSBG1
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSM3
ACSM5
ACSS1
ACSS2
ACSS3
ACTA1
ACTA2
ACTB
ACTC1
ACTG2
ACTL6A
ACTL7A
ACTL7B
ACTN1
ACTN2
ACTN3
ACTN4
ACTR1A
ACTR1B
ACTR3
ACTR3B
ACTR5
ACTR8
ACVR1
ACVR1B
ACVR2A
ACVR2B
ACVRL1
ACYP2
ADA
ADAL
ADAM10
ADAM12
ADAM15
ADAM17
ADAM19
ADAM22
ADAM28
ADAM32
ADAM33
ADAM8
ADAM9
ADAMTS10
ADAMTS13
ADAMTS14
ADAMTS15
ADAMTS16
ADAMTS17
ADAMTS18
ADAMTS19
ADAMTS2
ADAMTS4
ADAMTS7
ADAMTS8
ADAMTS9
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADAMTSL4
ADAP1
ADAR
ADAT1
ADCY10
ADCY6
ADCY7
ADCY9
ADCYAP1R1
ADD1
ADD2
ADD3
ADGRA2
ADGRA3
ADGRB2
ADGRE1
ADGRE5
ADGRF3
ADGRF5
ADGRG1
ADGRG2
ADGRG3
ADGRG5
ADGRG6
ADGRL1
ADGRL2
ADGRL3
ADGRL4
ADGRV1
ADH5
ADHFE1
ADIPOR1
ADIPOR2
ADK
ADM
ADNP
ADNP2
ADO
ADORA2B
ADORA3
ADPGK
ADPRH
ADRA1B
ADRA1D
ADRA2A
ADRA2B
ADRM1
AEBP2
AEN
AFAP1
AFAP1L1
AFAP1L2
AFDN
AFF1
AFF3
AFF4
AFG3L2
AFTPH
AGA
AGAP1
AGAP2
AGAP3
AGBL1
AGBL5
AGER
AGFG2
AGK
AGL
AGMO
AGO2
AGO3
AGPAT1
AGPAT2
AGPAT3
AGPAT4
AGPAT5
AGT
AGTRAP
AHCTF1
AHCY
AHCYL1
AHCYL2
AHDC1
AHNAK
AIF1
AIF1L
AIFM1
AIP
AK2
AK5
AK9
AKAP1
AKAP10
AKAP12
AKAP13
AKAP6
AKAP7
AKAP8
AKAP8L
AKAP9
AKIP1
AKIRIN1
AKIRIN2
AKNA
AKNAD1
AKR1A1
AKT1
AKT1S1
AKT2
AKTIP
ALAD
ALAS1
ALDH16A1
ALDH18A1
ALDH1A1
ALDH1A2
ALDH1A3
ALDH1B1
ALDH3A2
ALDH3B1
ALDH5A1
ALDH7A1
ALDH8A1
ALDH9A1
ALDOB
ALDOC
ALG11
ALG12
ALG14
ALG2
ALG3
ALG5
ALG6
ALG8
ALKBH1
ALKBH3
ALKBH4
ALKBH7
ALKBH8
ALMS1
ALOX5
ALOX5AP
ALPK1
ALPK3
ALPL
ALS2
ALYREF
AMBRA1
AMD1
AMDHD1
AMFR
AMHR2
AMIGO1
AMIGO2
AMIGO3
AMN1
AMOTL1
AMOTL2
AMPD1
AMPD2
AMPD3
AMT
ANAPC1
ANAPC10
ANAPC13
ANAPC15
ANAPC2
ANAPC4
ANAPC5
ANAPC7
ANGEL2
ANGPT2
ANGPT4
ANGPTL2
ANGPTL3
ANGPTL4
ANGPTL6
ANK1
ANK2
ANK3
ANKAR
ANKDD1A
ANKIB1
ANKLE2
ANKMY2
ANKRD1
ANKRD10
ANKRD11
ANKRD12
ANKRD13B
ANKRD13C
ANKRD13D
ANKRD16
ANKRD17
ANKRD2
ANKRD22
ANKRD24
ANKRD27
ANKRD28
ANKRD29
ANKRD34A
ANKRD35
ANKRD37
ANKRD39
ANKRD44
ANKRD46
ANKRD49
ANKRD52
ANKRD54
ANKRD6
ANKRD66
ANKRD9
ANKS4B
ANKS6
ANKZF1
ANLN
ANO1
ANO10
ANO2
ANO5
ANO6
ANO8
ANP32A
ANP32B
ANP32E
ANPEP
ANTXR1
ANTXR2
ANXA1
ANXA13
ANXA2
ANXA3
ANXA4
ANXA5
ANXA6
ANXA9
AP1AR
AP1B1
AP1G1
AP1M1
AP1S1
AP1S3
AP2A1
AP2A2
AP2B1
AP2S1
AP3M2
AP3S1
AP3S2
AP4B1
AP4E1
AP5B1
AP5M1
AP5S1
APBA1
APBA3
APBB1
APBB1IP
APBB2
APBB3
APCDD1
APEH
APEX1
APEX2
APH1A
APH1B
API5
APIP
APLF
APLP1
APLP2
APMAP
APOA1
APOBEC1
APOE
APOLD1
APOM
APPBP2
APRT
APTX
AQP1
AQP3
AQP4
AQP9
AQR
ARAF
ARAP1
ARAP2
ARAP3
ARCN1
AREG
ARFGAP1
ARFGAP2
ARFGAP3
ARFGEF1
ARFGEF2
ARFIP1
ARFIP2
ARFRP1
ARGLU1
ARHGAP1
ARHGAP10
ARHGAP15
ARHGAP17
ARHGAP18
ARHGAP20
ARHGAP21
ARHGAP22
ARHGAP23
ARHGAP24
ARHGAP25
ARHGAP26
ARHGAP28
ARHGAP29
ARHGAP30
ARHGAP35
ARHGAP36
ARHGAP39
ARHGAP42
ARHGAP44
ARHGAP45
ARHGAP6
ARHGDIA
ARHGDIB
ARHGDIG
ARHGEF10
ARHGEF12
ARHGEF15
ARHGEF17
ARHGEF19
ARHGEF2
ARHGEF26
ARHGEF39
ARHGEF4
ARHGEF40
ARHGEF5
ARHGEF7
ARHGEF9
ARID1A
ARID1B
ARID2
ARID3B
ARID4A
ARID4B
ARID5A
ARIH1
ARIH2
ARL1
ARL10
ARL14EP
ARL16
ARL2BP
ARL3
ARL4C
ARL4D
ARL5A
ARL5B
ARL6IP4
ARL6IP5
ARL6IP6
ARL8B
ARL9
ARMC1
ARMC7
ARMC8
ARMC9
ARMCX2
ARMCX6
ARMT1
ARNT
ARNT2
ARNTL
ARNTL2
ARPC1A
ARPC1B
ARPC2
ARPC4
ARPC5
ARPC5L
ARPIN
ARPP19
ARPP21
ARRB2
ARRDC1
ARRDC2
ARRDC3
ARRDC5
ARSI
ART1
ART3
ART5
ARV1
ARVCF
ARX
ASAH1
ASAP2
ASB1
ASB10
ASB12
ASB13
ASB15
ASB16
ASB18
ASB5
ASB6
ASB7
ASB8
ASB9
ASCC3
ASH1L
ASH2L
ASIC3
ASNS
ASNSD1
ASPHD2
ASPM
ASPSCR1
ASRGL1
ASS1
ASTE1
ASXL2
ATAD1
ATAD2B
ATAD3A
ATAD5
ATAT1
ATCAY
ATE1
ATF1
ATF2
ATF3
ATF5
ATF6
ATF6B
ATF7IP
ATF7IP2
ATG101
ATG12
ATG13
ATG14
ATG16L1
ATG16L2
ATG2A
ATG4C
ATG4D
ATG5
ATG7
ATG9A
ATIC
ATL2
ATL3
ATM
ATN1
ATOH8
ATOX1
ATP10A
ATP11A
ATP11B
ATP13A1
ATP13A2
ATP13A4
ATP1A1
ATP1A2
ATP1A4
ATP1B1
ATP1B3
ATP1B4
ATP23
ATP2A2
ATP2B2
ATP2B4
ATP2C1
ATP2C2
ATP6V0C
ATP6V0D1
ATP6V0D2
ATP6V1A
ATP6V1B2
ATP6V1E2
ATP6V1G2
ATP6V1H
ATP7A
ATP7B
ATP8A1
ATP8B1
ATP8B2
ATP8B4
ATP9A
ATP9B
ATPAF1
ATR
ATRIP
ATRN
ATRNL1
ATRX
ATXN10
ATXN2L
ATXN7L2
ATXN7L3
AUNIP
AUP1
AURKA
AURKAIP1
AVIL
AVL9
AVPI1
AXIN1
AXIN2
AXL
AZI2
AZIN1
AZIN2
B2M
B3GALNT2
B3GALT6
B3GAT3
B3GLCT
B3GNT2
B3GNT3
B3GNT4
B3GNT7
B3GNT9
B4GALT1
B4GALT2
B4GALT3
B4GALT5
B4GALT6
B9D1
BABAM1
BACE1
BACE2
BACH1
BACH2
BAD
BAG1
BAG3
BAG4
BAG5
BAG6
BAHCC1
BAHD1
BAIAP2
BAIAP2L1
BAK1
BAMBI
BANF1
BANK1
BANP
BARD1
BARX2
BATF
BATF3
BAX
BAZ1A
BAZ1B
BAZ2A
BAZ2B
BBOF1
BBS10
BBS12
BBS2
BBS4
BBS7
BBS9
BCAM
BCAR1
BCAR3
BCAS2
BCAS3
BCAT1
BCAT2
BCCIP
BCDIN3D
BCHE
BCKDHB
BCL10
BCL11A
BCL2L1
BCL2L11
BCL2L12
BCL2L13
BCL2L14
BCL2L2
BCL3
BCL6B
BCL7B
BCL7C
BCL9
BCL9L
BCLAF1
BCO1
BCO2
BCOR
BCORL1
BCR
BCS1L
BDH2
BDNF
BEND3
BEND7
BEST1
BET1L
BEX4
BFSP1
BGLAP
BGN
BHLHE40
BHLHE41
BHMT
BICC1
BICD1
BICD2
BID
BIN1
BIN2
BIRC2
BIRC3
BIRC5
BIRC6
BLCAP
BLK
BLM
BLNK
BLOC1S2
BLOC1S3
BLOC1S4
BLOC1S5
BLVRA
BLVRB
BLZF1
BMF
BMI1
BMP2
BMP2K
BMP5
BMP6
BMP7
BMPER
BMPR1B
BMPR2
BMS1
BMX
BNC2
BNIP1
BNIP2
BNIP3
BNIPL
BOLA1
BOLL
BORCS8
BPGM
BPHL
BPI
BPNT1
BPTF
BRAF
BRAP
BRAT1
BRCA1
BRD2
BRD4
BRD7
BRD8
BRD9
BRF1
BRF2
BRI3
BRIP1
BRK1
BRMS1
BRMS1L
BRPF1
BRPF3
BRSK1
BRSK2
BSCL2
BSG
BSN
BST1
BTAF1
BTBD1
BTBD10
BTBD19
BTBD2
BTBD3
BTBD6
BTBD8
BTBD9
BTC
BTF3L4
BTG1
BTLA
BTN2A2
BTNL9
BTRC
BUB1
BUB1B
BUB3
BUD13
BVES
BYSL
BZW1
C1D
C1GALT1C1
C1QA
C1QB
C1QBP
C1QC
C1QTNF1
C1QTNF5
C1QTNF7
C1RL
C2CD2L
C2CD5
C3
C3AR1
C5AR2
CAAP1
CAB39
CABLES2
CABYR
CACHD1
CACNA1A
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1H
CACNA1S
CACNA2D1
CACNA2D2
CACNB2
CACNB3
CACNB4
CACNG5
CACNG6
CACTIN
CACUL1
CACYBP
CAD
CADM1
CADM2
CADM3
CADM4
CADPS2
CALCOCO1
CALCRL
CALD1
CALHM2
CALM1
CALML4
CALR
CALU
CALY
CAMK1
CAMK1D
CAMK1G
CAMK2A
CAMK2D
CAMKK2
CAMKMT
CAMSAP1
CAMTA1
CAND2
CANT1
CAPG
CAPN1
CAPN10
CAPN11
CAPN15
CAPN2
CAPN3
CAPN5
CAPN6
CAPNS1
CAPRIN1
CAPRIN2
CAPZA1
CAPZA2
CAPZB
CARD10
CARD11
CARD19
CARD9
CARF
CARHSP1
CARM1
CARMIL2
CARNMT1
CARS2
CASC3
CASD1
CASK
CASKIN2
CASP2
CASP3
CASP4
CASP6
CASP7
CASP8
CASP8AP2
CASP9
CASQ1
CASQ2
CASS4
CASZ1
CAT
CATIP
CATSPER2
CAV1
CAV2
CAV3
CBARP
CBFA2T2
CBFA2T3
CBFB
CBL
CBLC
CBLN3
CBR4
CBX1
CBX2
CBX3
CBX4
CBX5
CBX6
CBX7
CBX8
CC2D1A
CC2D1B
CC2D2A
CCAR2
CCDC102A
CCDC106
CCDC107
CCDC110
CCDC112
CCDC113
CCDC125
CCDC126
CCDC134
CCDC136
CCDC137
CCDC138
CCDC142
CCDC146
CCDC148
CCDC15
CCDC150
CCDC154
CCDC157
CCDC158
CCDC17
CCDC172
CCDC174
CCDC18
CCDC180
CCDC181
CCDC184
CCDC186
CCDC22
CCDC27
CCDC28A
CCDC28B
CCDC3
CCDC30
CCDC34
CCDC38
CCDC40
CCDC47
CCDC50
CCDC51
CCDC57
CCDC6
CCDC61
CCDC62
CCDC65
CCDC68
CCDC69
CCDC71
CCDC77
CCDC78
CCDC82
CCDC83
CCDC85A
CCDC85B
CCDC85C
CCDC86
CCDC88A
CCDC88B
CCDC90B
CCDC91
CCDC92
CCDC93
CCDC97
CCHCR1
CCIN
CCKAR
CCL2
CCL24
CCL3
CCL5
CCL7
CCM2
CCM2L
CCNA2
CCNB1IP1
CCNB2
CCNB3
CCNC
CCND1
CCND2
CCND3
CCNDBP1
CCNE1
CCNE2
CCNF
CCNG2
CCNI
CCNL1
CCNT1
CCNT2
CCNY
CCNYL1
CCP110
CCPG1
CCR2
CCR3
CCR5
CCR7
CCS
CCSAP
CCSER1
CCSER2
CCT2
CCT3
CCT4
CCT6A
CCT8
CD101
CD151
CD163
CD19
CD2
CD22
CD248
CD274
CD276
CD2AP
CD300E
CD300LB
CD300LG
CD302
CD34
CD37
CD38
CD3D
CD3E
CD3G
CD40
CD44
CD47
CD48
CD5
CD55
CD5L
CD6
CD63
CD68
CD69
CD7
CD72
CD74
CD79A
CD80
CD81
CD82
CD83
CD84
CD9
CD93
CDA
CDAN1
CDC123
CDC14A
CDC14B
CDC16
CDC20
CDC23
CDC25A
CDC25B
CDC37L1
CDC40
CDC42
CDC42BPA
CDC42BPG
CDC42EP1
CDC42EP3
CDC42SE2
CDC45
CDC5L
CDC6
CDC7
CDC73
CDCA2
CDCA3
CDCA4
CDCA5
CDCA8
CDCP1
CDH1
CDH11
CDH13
CDH15
CDH16
CDH17
CDH2
CDH22
CDH23
CDH24
CDH3
CDH5
CDH6
CDH7
CDHR2
CDIP1
CDIPT
CDK10
CDK12
CDK14
CDK15
CDK16
CDK19
CDK2
CDK2AP1
CDK2AP2
CDK4
CDK5
CDK5R1
CDK5RAP2
CDK5RAP3
CDK6
CDK7
CDK9
CDKAL1
CDKL2
CDKN1A
CDKN1B
CDKN2AIP
CDKN2C
CDKN3
CDNF
CDO1
