Sample	Latent_1	Latent_2	Latent_3	Latent_4	Latent_5	Latent_6	Latent_7	Latent_8	Latent_9	Latent_10	Latent_11	Latent_12	Latent_13	Latent_14	Latent_15	Latent_16	Latent_17	Latent_18	Latent_19	Latent_20	Latent_21	Latent_22	Latent_23	Latent_24	Latent_25	Latent_26	Latent_27	Latent_28	Latent_29	Latent_30	Latent_31	Latent_32
GSM1370584	-8.66964	-23.226091	1.1294831	19.723917	29.503334	-59.98336	15.656369	-39.290714	-0.8258977	-10.245217	-74.59936	9.74732	0.41558516	33.579563	6.2685018	27.313883	-47.153957	12.704912	-2.8402941	-49.195644	-20.481241	22.04501	-68.21841	-35.258476	-9.17239	-21.69207	-40.867043	16.298634	13.243213	-40.698425	23.082855	62.47694
GSM1370585	-9.587357	-22.310005	1.956333	18.5332	30.378029	-58.938087	13.983304	-40.004066	0.010003591	-10.135438	-75.176	9.786856	-0.060883895	35.051353	5.8187203	27.23709	-44.87696	13.8664	-4.962076	-48.776794	-19.094683	19.64524	-69.448074	-33.717106	-10.053577	-20.937447	-41.470005	14.251677	12.158078	-41.349403	21.607452	62.44898
GSM1370586	-8.391476	-21.052	3.886361	15.69018	32.582798	-57.538795	11.028956	-37.85822	-2.2930493	-11.503474	-74.2958	9.917276	0.26383555	34.58573	8.978162	29.098974	-41.15793	13.522262	-11.799088	-41.575237	-18.871672	12.726541	-75.41054	-28.715483	-12.034098	-22.600815	-35.53054	10.787146	12.211064	-39.57252	22.494307	60.202538
GSM1370587	-10.285944	-22.964285	3.7767475	18.847063	30.864761	-58.390976	17.042814	-40.042233	-2.024629	-9.728984	-74.56036	10.66559	1.5699478	33.98427	6.483786	25.91559	-43.83512	14.7423315	-6.8101397	-44.44197	-16.05617	19.775127	-69.98547	-33.7575	-10.951159	-19.683907	-36.572647	13.987984	15.095741	-41.096893	22.985943	63.598553
GSM1370695	37.015533	-10.612004	7.859454	2.2853177	-9.496771	-52.42553	10.032891	24.174511	-18.444004	-20.894585	-60.264988	15.498684	-8.419277	38.899002	43.90128	65.97721	-37.511482	-37.486317	-24.2423	-37.352753	-64.91426	25.970606	-75.82649	-17.28707	42.923923	-37.071423	-24.423216	48.529808	-16.725903	-32.24836	-8.808353	26.150665
GSM1370696	36.392998	-8.17529	12.020872	2.1536	-9.998131	-49.809807	11.278127	29.218468	-18.37889	-20.827093	-60.055286	15.341183	-7.9417243	42.318268	46.14278	62.60777	-35.1359	-36.303432	-31.757515	-33.44896	-60.060463	25.497513	-75.84676	-16.39348	44.782944	-36.17008	-22.222555	50.397736	-14.18192	-32.981407	-13.748679	25.00004
GSM1370697	38.579254	-6.5430155	13.176317	-0.5744138	-9.535702	-49.733395	6.0337934	27.956436	-13.713589	-22.843334	-59.543823	14.171574	-10.199868	43.062885	45.53272	64.19917	-35.639374	-34.515205	-31.248352	-32.414227	-61.767483	26.128235	-76.22313	-14.283832	44.472866	-35.709644	-24.006182	49.88041	-15.011666	-34.562286	-13.903434	22.28509
GSM1370698	37.293926	-6.0650454	5.9649205	-1.315968	-5.3419495	-46.27332	3.7624881	28.011826	-18.229116	-22.37544	-51.87277	15.196933	-10.002659	38.752594	41.265877	64.2295	-38.489803	-34.849743	-25.237661	-36.293068	-62.769825	23.738089	-75.97052	-11.830234	43.360394	-37.021034	-29.125147	49.48694	-17.151018	-27.762825	-12.863745	20.393345
GSM1370699	19.118614	-28.459494	6.5069246	19.20512	4.907394	-58.053486	24.770775	8.987387	-26.252138	-27.639566	-80.859276	17.818624	-16.098263	51.990925	46.027145	61.895294	-47.677166	-26.354992	-26.73936	-39.080235	-59.795925	24.2145	-89.828476	-37.337654	36.15399	-34.06371	-37.13795	47.896084	-8.536081	-49.44925	0.95152813	42.09009
GSM1370700	18.259026	-28.179924	6.0572634	19.45309	4.746639	-57.343464	24.962254	8.192081	-25.377817	-26.92384	-80.073685	17.762491	-15.628999	51.347298	44.764454	61.157677	-47.722015	-25.979786	-25.728981	-39.221165	-59.28382	25.566711	-88.38952	-37.750996	35.54211	-33.613926	-36.788956	47.794914	-8.5915985	-49.42295	1.064939	41.565464
