Sample	Latent_1	Latent_2	Latent_3	Latent_4	Latent_5	Latent_6	Latent_7	Latent_8	Latent_9	Latent_10	Latent_11	Latent_12	Latent_13	Latent_14	Latent_15	Latent_16	Latent_17	Latent_18	Latent_19	Latent_20	Latent_21	Latent_22	Latent_23	Latent_24	Latent_25	Latent_26	Latent_27	Latent_28	Latent_29	Latent_30	Latent_31	Latent_32
GSM1000981	22.620163	-37.28418	7.412883	17.151348	4.3614697	-59.298485	32.150105	10.360086	-24.853134	-29.923082	-81.20015	14.843843	-19.612839	46.75558	50.423634	71.21261	-43.187344	-29.24754	-25.885946	-29.701065	-62.80521	20.050491	-93.59347	-36.71029	31.30169	-33.267696	-28.33908	41.592815	-7.102375	-54.032883	10.42395	39.106052
GSM1000982	22.985256	-37.384914	8.084228	16.72335	2.9840798	-59.2947	31.91143	9.918961	-22.805622	-28.976583	-81.95586	14.885464	-20.018206	46.720566	50.64336	69.963066	-42.50422	-29.299122	-25.060732	-30.833345	-61.730515	23.135698	-90.68216	-38.55614	31.665806	-32.31386	-26.762304	41.605175	-6.506777	-55.22055	9.159889	38.786682
GSM1000983	22.731922	-38.66633	11.333668	16.077131	5.0738015	-57.532627	34.223488	12.963638	-24.717957	-31.22423	-81.506516	15.6964	-20.505959	49.903526	52.917713	74.14048	-38.32033	-28.286518	-29.927542	-24.120255	-60.978546	16.771664	-96.12263	-32.71573	30.107834	-32.498978	-27.721094	40.921555	-8.303244	-55.419247	9.108877	37.970993
GSM1000984	20.559032	-36.945667	15.210382	16.531807	8.913285	-54.415565	32.23965	13.122726	-25.35705	-30.026587	-81.4834	16.89997	-19.938189	53.926746	52.063915	70.40787	-35.292908	-23.839672	-35.34056	-22.051191	-53.446255	13.3879595	-96.33393	-28.559649	29.093235	-30.464878	-30.795393	41.096107	-7.142687	-53.223457	3.864223	39.363
GSM1000985	19.942837	-35.9036	12.08157	17.380444	8.693846	-54.47842	30.27657	12.535965	-25.80656	-29.292994	-80.104576	17.24212	-19.672726	52.550423	50.825893	66.9921	-36.27894	-25.584549	-31.679426	-26.02436	-53.279957	16.85184	-91.79929	-30.540483	31.284142	-30.20746	-30.58174	41.215954	-7.0629387	-50.98381	2.5641112	38.411427
GSM1000986	20.52552	-36.051594	13.771198	16.456444	9.081795	-54.577896	31.16883	13.662266	-25.503334	-30.47598	-80.84404	16.542786	-20.059538	53.479927	51.99139	69.5102	-36.43409	-24.6082	-34.7617	-23.234392	-54.236515	14.219035	-96.03089	-29.177774	30.11031	-31.041084	-30.699945	41.20002	-6.951412	-52.646503	3.7146735	38.479122
GSM1003587	-16.149202	-40.068996	71.481064	7.7828336	29.696602	11.727716	67.1802	10.814739	-21.56374	-5.313976	-73.14358	48.227177	-3.7442555	75.94603	53.91809	68.22424	7.3502493	53.56589	-105.56244	31.731571	33.309143	-45.901455	-133.11554	15.38411	-21.115883	-15.83219	-44.50879	29.310978	3.9626915	-73.520195	-21.271414	71.44677
GSM1003588	-15.482487	-40.42459	73.30843	8.111962	30.098335	11.52528	67.93039	11.132656	-21.506598	-6.174128	-73.99645	48.337135	-4.425504	77.980705	54.34734	70.096405	8.3293085	53.59698	-107.690926	32.980724	33.290657	-47.081577	-135.20888	16.264593	-20.986082	-15.419571	-45.932888	30.382385	3.958546	-75.15851	-22.144854	72.30577
GSM1003589	-16.874205	-40.992443	73.546364	8.250539	30.231604	11.17293	67.124825	9.851164	-20.633656	-5.617998	-76.15108	48.203594	-4.704662	78.4985	54.712425	68.988785	8.517772	54.372868	-107.02446	31.96816	33.79359	-46.04732	-134.74681	15.115411	-21.372997	-15.322425	-45.57095	28.775394	3.5831635	-76.16488	-22.113949	72.73623
GSM1006725	-22.718275	-47.285496	-15.253418	56.761044	40.05107	-64.27235	34.91739	-38.92774	-11.177849	-10.632813	-64.343315	-1.0198857	-3.754623	32.946472	-16.731802	28.682528	-57.58669	-2.3219528	24.184664	-46.862976	-29.134266	42.113964	-50.363605	-58.03687	-6.81678	-13.925965	-66.39293	32.677917	20.419085	-46.863728	38.606255	55.0422
